sku,name,category,price,installable,normRef,riskTag,stockNearby
LM-1566953614,Kit 2 Barras de Apoio 60cm,Barra de apoio,129.63,true,NBR 9050,fall_bathroom,44
LM-1570794626,Barra de Apoio Inox 60cm,Barra de apoio,92.78,true,,fall_bathroom,12
LM-1570997823,Barra em L 70×60cm,Barra de apoio,116.65,true,,fall_bathroom,13
LM-1571063159,Barra Articulável Inox 60cm,Barra de apoio,325.52,true,,fall_bathroom,36
LM-1570477975,Barra em U 30×30×30cm,Barra de apoio,110.00,true,,fall_bathroom,45
LM-1567072938,Barra Preta 90cm,Barra de apoio,104.25,true,,fall_bathroom,17
LM-1566988483,"Corrimão/Barra 1,20m",Barra de apoio,118.29,true,,fall_general,22
LM-90449016,Cadeira para Banho Mebuki,Cadeira de banho,459.90,false,,fall_bathroom,33
LM-90448995,Banco para Banho Mebuki,Cadeira de banho,249.90,false,,fall_bathroom,12
LM-1570790197,Banco Articulado com Pé,Cadeira de banho,701.85,true,,fall_bathroom,11
LM-89583165,"Assento Elevado 7,5cm Mebuki",Assento sanitário,167.89,false,,mobility,20
LM-89583172,"Assento Elevado 13,5cm Mebuki",Assento sanitário,181.79,false,,mobility,27
LM-92288434,Assento Elevado Astra com Tampa e Trava,Assento sanitário,170.90,false,,mobility,27
LM-89562844,Tapete de Box Bella Casa 50×50cm,Antiderrapante,46.90,false,,fall_bathroom,35
LM-89386283,Fita para Banheiro Safety Walk 3M,Antiderrapante,88.79,false,,fall_bathroom,20
LM-90345150,Tratamento Antiderrapante Pisoclean 1L,Antiderrapante,100.90,false,,fall_bathroom,20
LM-1572334620,Piso Vinílico Antiderrapante para Box,Antiderrapante,170.91,false,,fall_bathroom,46
LM-92439032,Porcelanato Externo Avana Gray,Antiderrapante,93.91,true,,fall_bathroom,32
LM-88412086,Vaso Sanitário PNE Celite,Sanitário PNE,541.13,true,,mobility,24
LM-1571658654,Torneira PNE Automática Master,Torneira acessível,173.83,true,NBR 9050,dexterity,47
LM-1568309643,Torneira PNE Automática,Torneira acessível,260.91,true,,dexterity,39
LM-92416212,Torneira Docol Benefit com Alavanca,Torneira acessível,338.48,true,,dexterity,49
LM-1571793976,Torneira com Sensor Infravermelho,Torneira acessível,298.10,true,,dexterity,28
LM-1567579955,Bengala Dobrável Regulável,Mobilidade,49.90,false,,mobility,28
LM-1571473953,Rampa para Soleira 4×80cm,Circulação,273.65,true,,mobility,10
LM-1571473954,Rampa Antiderrapante 80×52×8cm,Circulação,702.30,true,,mobility,11
LM-1571573355,Perfil Redutor Inox 15mm,Circulação,328.89,true,,fall_general,28
LM-1572484016,Perfil Redutor Alumínio 5mm,Circulação,135.90,false,,fall_general,38
LM-89580260,Fita Antiderrapante Nove54,Antiderrapante,24.67,false,,fall_general,26
LM-1571828386,Fita Fotoluminescente Vonder,Antiderrapante,94.90,false,,fall_general,39
LM-1571392523,Fita Antiderrapante Azul,Antiderrapante,54.30,false,,fall_general,47
LM-1572632590,Canaleta de Piso 50×15mm,Circulação,37.26,false,,fall_general,28
LM-1571521692,Canaleta Autoadesiva 10×10mm,Circulação,10.45,false,,fall_general,25
LM-1572861708,Luminária Noturna Recarregável,Iluminação,24.99,false,,night_trips,38
LM-1572172591,Luminária Inteligente 30cm,Iluminação,109.99,false,,night_trips,49
LM-1572172592,Luminária Inteligente 60cm,Iluminação,149.99,false,,night_trips,50
LM-1572098565,Barra LED Opus 60cm com Sensor,Iluminação,130.00,false,,night_trips,28
LM-91915635,Luminária de Emergência Segurimax,Iluminação,15.99,false,,night_trips,41
LM-1571569623,Lâmpada Recarregável de Emergência,Iluminação,49.90,false,,night_trips,27
LM-90730486,Lâmpada Inteligente Elgin RGB,Iluminação,72.90,false,,night_trips,38
LM-90940374,Sensor de Presença Intelbras ESPi 180 E,Segurança,46.22,false,,night_trips,47
LM-89093823,Sensor E27 Intelbras 360 S,Segurança,75.90,false,,night_trips,13
LM-1571852628,Sensor Infravermelho HS-P21,Segurança,47.90,false,,night_trips,50
LM-92226652,Sensor para Fita LED Gaya,Iluminação,62.90,true,,night_trips,32
LM-90628195,Smart Plug Positivo 10A,Casa segura,95.92,false,,accessibility_voice,42
LM-1572318383,Tomada Dupla Wi‑Fi Tuya 16A,Casa segura,160.45,false,,accessibility_voice,45
LM-1568024966,Interruptor Mini Inteligente 10A,Casa segura,69.52,false,,accessibility_voice,25
LM-91709660,Interruptor Touch Intelbras EWS 1001,Casa segura,131.29,false,,accessibility_voice,50
LM-91007924,Detector de Fumaça Wi‑Fi AGL,Segurança,304.90,true,,cognition,29
LM-1570863970,Detector de Fumaça Tuya,Segurança,163.71,true,,cognition,25
LM-88029984,Detector de Fumaça DNI com Sirene,Segurança,114.90,true,,cognition,42
